Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Day,Month,Year,Revenue Category,Spend per Item,Estimated Profit,Month Name
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,13:08,Ewallet,522.83,4.761904762,26.1415,9.1,5,1,2019,High,78.4245,109.7943,January
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29,Cash,76.4,4.761904762,3.82,9.6,8,3,2019,Low,16.044,16.044,March
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:23,Credit card,324.31,4.761904762,16.2155,7.4,3,3,2019,High,48.6465,68.10510000000001,March
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,20:33,Ewallet,465.76,4.761904762,23.288,8.4,27,1,2019,High,61.131,97.8096,January
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37,Ewallet,604.17,4.761904762,30.2085,5.3,8,2,2019,High,90.6255,126.87570000000001,February
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30,Ewallet,597.73,4.761904762,29.8865,4.1,25,3,2019,High,89.6595,125.5233,March
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36,Ewallet,413.04,4.761904762,20.652,5.8,25,2,2019,High,72.282,86.73840000000001,February
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38,Ewallet,735.6,4.761904762,36.78,8.0,24,2,2019,High,77.238,154.476,February
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,17:15,Credit card,72.52,4.761904762,3.626,7.2,10,1,2019,Low,38.073,15.2292,January
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27,Credit card,164.52,4.761904762,8.226,5.9,20,2,2019,Low,57.582,34.549200000000006,February
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,18:07,Ewallet,57.92,4.761904762,2.896,4.5,6,2,2019,Low,15.204,12.163200000000002,February
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03,Cash,102.04,4.761904762,5.102,6.8,9,3,2019,Low,26.7855,21.4284,March
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25,Ewallet,234.75,4.761904762,11.7375,7.1,12,2,2019,Low,49.2975,49.29750000000001,February
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48,Ewallet,431.9,4.761904762,21.595,8.2,7,2,2019,High,45.3495,90.69900000000001,February
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21,Cash,713.8,4.761904762,35.69,5.7,29,3,2019,High,74.949,149.898,March
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19,Cash,562.32,4.761904762,28.116,4.5,15,1,2019,High,98.406,118.08720000000001,January
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03,Credit card,482.51,4.761904762,24.1255,4.6,11,3,2019,High,72.3765,101.3271,March
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39,Credit card,435.66,4.761904762,21.783,6.9,1,1,2019,High,76.2405,91.4886,January
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00,Credit card,164.01,4.761904762,8.2005,8.6,21,1,2019,Low,57.4035,34.4421,January
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30,Ewallet,80.6,4.761904762,4.03,4.4,11,3,2019,Low,42.315,16.926,March
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24,Ewallet,430.2,4.761904762,21.51,4.8,25,2,2019,High,90.342,90.342,February
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40,Ewallet,263.94,4.761904762,13.197,5.1,5,3,2019,High,92.379,55.427400000000006,March
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20,Credit card,66.4,4.761904762,3.32,4.4,15,3,2019,Low,34.86,13.944,March
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15,Ewallet,172.8,4.761904762,8.64,9.9,17,2,2019,Low,36.288,36.288000000000004,February
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36,Ewallet,265.89,4.761904762,13.2945,6.0,2,3,2019,High,93.06150000000001,55.83690000000001,March
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:20,Credit card,420.72,4.761904762,21.036,8.5,22,3,2019,High,55.2195,88.3512,March
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:31,Cash,33.52,4.761904762,1.676,6.7,8,2,2019,Low,35.196,7.0392,February
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17,Credit card,175.34,4.761904762,8.767,7.7,10,3,2019,Low,92.0535,36.821400000000004,March
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48,Cash,441.8,4.761904762,22.09,9.6,25,1,2019,High,92.77799999999999,92.778,January
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36,Cash,224.01,4.761904762,11.2005,7.4,15,3,2019,Low,26.1345,47.042100000000005,March
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39,Credit card,470.65,4.761904762,23.5325,4.8,25,2,2019,High,98.8365,98.8365,February
